id,recommendation_name,category,sub_category,provider_scope,source_provider,recommendation_type,priority,end_user_value,implementation_complexity,primary_metrics,baseline_thresholds,lookback_window,native_or_saas_data_source,third_party_saas_options,product_catalog_dependency,compatibility_group,onboarding_to_engine,basic_engine_support,notes_and_guardrails
BR-0015,"VM rightsize down (GCP, standard)",Compute,VM,GCP,Google Cloud Recommender / Monitoring / Billing Export,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap,14d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; baseline threshold as listed
BR-0016,"VM rightsize down (GCP, strict)",Compute,VM,GCP,Google Cloud Recommender / Monitoring / Billing Export,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap; strict mode adds 20% safety headroom,14d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0017,"VM rightsize down (SaaS, standard)",Compute,VM,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap,14d,SaaS REST APIs; exports; webhooks; collectors,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; baseline threshold as listed
BR-0018,"VM rightsize down (SaaS, strict)",Compute,VM,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap; strict mode adds 20% safety headroom,14d,SaaS REST APIs; exports; webhooks; collectors,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0019,"VM rightsize down (FinOps, standard)",Compute,VM,FinOps,FinOps Basic Provider Registry + Signal Catalog,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap,14d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; baseline threshold as listed
BR-0020,"VM rightsize down (FinOps, strict)",Compute,VM,FinOps,FinOps Basic Provider Registry + Signal Catalog,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap; strict mode adds 20% safety headroom,14d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0021,"VM underprovisioned upsize (AWS, standard)",Compute,VM,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,RightsizeSku,P1,High,Medium,p95_cpu_pct;p95_mem_pct;throttle_pct,p95_cpu>85% OR p95_mem>90% OR throttle>5%,7d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,Densify;Datadog,source/target sku and rate increase,compute.vm.same-architecture-family,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,"Performance recommendation, not direct saving; baseline threshold as listed"
BR-0022,"VM underprovisioned upsize (AWS, strict)",Compute,VM,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,RightsizeSku,P1,High,Medium,p95_cpu_pct;p95_mem_pct;throttle_pct,p95_cpu>85% OR p95_mem>90% OR throttle>5%; strict mode adds 20% safety headroom,7d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,Densify;Datadog,source/target sku and rate increase,compute.vm.same-architecture-family,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,"Performance recommendation, not direct saving; prod-safe threshold: require +20% stronger evidence and owner approval"
BR-0023,"VM underprovisioned upsize (Azure, standard)",Compute,VM,Azure,Azure Advisor / Azure Monitor / Cost Management,RightsizeSku,P1,High,Medium,p95_cpu_pct;p95_mem_pct;throttle_pct,p95_cpu>85% OR p95_mem>90% OR throttle>5%,7d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,Densify;Datadog,source/target sku and rate increase,compute.vm.same-architecture-family,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,"Performance recommendation, not direct saving; baseline threshold as listed"
BR-0024,"VM underprovisioned upsize (Azure, strict)",Compute,VM,Azure,Azure Advisor / Azure Monitor / Cost Management,RightsizeSku,P1,High,Medium,p95_cpu_pct;p95_mem_pct;throttle_pct,p95_cpu>85% OR p95_mem>90% OR throttle>5%; strict mode adds 20% safety headroom,7d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,Densify;Datadog,source/target sku and rate increase,compute.vm.same-architecture-family,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,"Performance recommendation, not direct saving; prod-safe threshold: require +20% stronger evidence and owner approval"
BR-0025,"VM underprovisioned upsize (GCP, standard)",Compute,VM,GCP,Google Cloud Recommender / Monitoring / Billing Export,RightsizeSku,P1,High,Medium,p95_cpu_pct;p95_mem_pct;throttle_pct,p95_cpu>85% OR p95_mem>90% OR throttle>5%,7d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,Densify;Datadog,source/target sku and rate increase,compute.vm.same-architecture-family,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,"Performance recommendation, not direct saving; baseline threshold as listed"
BR-0026,"VM underprovisioned upsize (GCP, strict)",Compute,VM,GCP,Google Cloud Recommender / Monitoring / Billing Export,RightsizeSku,P1,High,Medium,p95_cpu_pct;p95_mem_pct;throttle_pct,p95_cpu>85% OR p95_mem>90% OR throttle>5%; strict mode adds 20% safety headroom,7d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,Densify;Datadog,source/target sku and rate increase,compute.vm.same-architecture-family,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,"Performance recommendation, not direct saving; prod-safe threshold: require +20% stronger evidence and owner approval"
BR-0027,"VM underprovisioned upsize (SaaS, standard)",Compute,VM,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,RightsizeSku,P1,High,Medium,p95_cpu_pct;p95_mem_pct;throttle_pct,p95_cpu>85% OR p95_mem>90% OR throttle>5%,7d,SaaS REST APIs; exports; webhooks; collectors,Densify;Datadog,source/target sku and rate increase,compute.vm.same-architecture-family,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,"Performance recommendation, not direct saving; baseline threshold as listed"
BR-0028,"VM underprovisioned upsize (SaaS, strict)",Compute,VM,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,RightsizeSku,P1,High,Medium,p95_cpu_pct;p95_mem_pct;throttle_pct,p95_cpu>85% OR p95_mem>90% OR throttle>5%; strict mode adds 20% safety headroom,7d,SaaS REST APIs; exports; webhooks; collectors,Densify;Datadog,source/target sku and rate increase,compute.vm.same-architecture-family,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,"Performance recommendation, not direct saving; prod-safe threshold: require +20% stronger evidence and owner approval"
BR-0029,"VM underprovisioned upsize (FinOps, standard)",Compute,VM,FinOps,FinOps Basic Provider Registry + Signal Catalog,RightsizeSku,P1,High,Medium,p95_cpu_pct;p95_mem_pct;throttle_pct,p95_cpu>85% OR p95_mem>90% OR throttle>5%,7d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,Densify;Datadog,source/target sku and rate increase,compute.vm.same-architecture-family,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,"Performance recommendation, not direct saving; baseline threshold as listed"
BR-0030,"VM underprovisioned upsize (FinOps, strict)",Compute,VM,FinOps,FinOps Basic Provider Registry + Signal Catalog,RightsizeSku,P1,High,Medium,p95_cpu_pct;p95_mem_pct;throttle_pct,p95_cpu>85% OR p95_mem>90% OR throttle>5%; strict mode adds 20% safety headroom,7d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,Densify;Datadog,source/target sku and rate increase,compute.vm.same-architecture-family,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,"Performance recommendation, not direct saving; prod-safe threshold: require +20% stronger evidence and owner approval"
BR-0031,"Legacy generation replacement (AWS, standard)",Compute,VM,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,RightsizeSku,P0,High,Low,instance_generation;equivalent_next_gen_price_delta;p95_cpu_pct,legacy=true;next_gen_saves>10%;p95_cpu<70%,30d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,CloudHealth;Densify,current and next-gen sku rates,compute.vm.same-architecture-family,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Replace old generation before downsizing; baseline threshold as listed
BR-0032,"Legacy generation replacement (AWS, strict)",Compute,VM,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,RightsizeSku,P0,High,Low,instance_generation;equivalent_next_gen_price_delta;p95_cpu_pct,legacy=true;next_gen_saves>10%;p95_cpu<70%; strict mode adds 20% safety headroom,30d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,CloudHealth;Densify,current and next-gen sku rates,compute.vm.same-architecture-family,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Replace old generation before downsizing; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0033,"Legacy generation replacement (Azure, standard)",Compute,VM,Azure,Azure Advisor / Azure Monitor / Cost Management,RightsizeSku,P0,High,Low,instance_generation;equivalent_next_gen_price_delta;p95_cpu_pct,legacy=true;next_gen_saves>10%;p95_cpu<70%,30d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,CloudHealth;Densify,current and next-gen sku rates,compute.vm.same-architecture-family,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Replace old generation before downsizing; baseline threshold as listed
BR-0034,"Legacy generation replacement (Azure, strict)",Compute,VM,Azure,Azure Advisor / Azure Monitor / Cost Management,RightsizeSku,P0,High,Low,instance_generation;equivalent_next_gen_price_delta;p95_cpu_pct,legacy=true;next_gen_saves>10%;p95_cpu<70%; strict mode adds 20% safety headroom,30d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,CloudHealth;Densify,current and next-gen sku rates,compute.vm.same-architecture-family,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Replace old generation before downsizing; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0035,"Legacy generation replacement (GCP, standard)",Compute,VM,GCP,Google Cloud Recommender / Monitoring / Billing Export,RightsizeSku,P0,High,Low,instance_generation;equivalent_next_gen_price_delta;p95_cpu_pct,legacy=true;next_gen_saves>10%;p95_cpu<70%,30d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,CloudHealth;Densify,current and next-gen sku rates,compute.vm.same-architecture-family,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Replace old generation before downsizing; baseline threshold as listed
BR-0036,"Legacy generation replacement (GCP, strict)",Compute,VM,GCP,Google Cloud Recommender / Monitoring / Billing Export,RightsizeSku,P0,High,Low,instance_generation;equivalent_next_gen_price_delta;p95_cpu_pct,legacy=true;next_gen_saves>10%;p95_cpu<70%; strict mode adds 20% safety headroom,30d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,CloudHealth;Densify,current and next-gen sku rates,compute.vm.same-architecture-family,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Replace old generation before downsizing; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0037,"Legacy generation replacement (SaaS, standard)",Compute,VM,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,RightsizeSku,P0,High,Low,instance_generation;equivalent_next_gen_price_delta;p95_cpu_pct,legacy=true;next_gen_saves>10%;p95_cpu<70%,30d,SaaS REST APIs; exports; webhooks; collectors,CloudHealth;Densify,current and next-gen sku rates,compute.vm.same-architecture-family,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Replace old generation before downsizing; baseline threshold as listed
BR-0038,"Legacy generation replacement (SaaS, strict)",Compute,VM,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,RightsizeSku,P0,High,Low,instance_generation;equivalent_next_gen_price_delta;p95_cpu_pct,legacy=true;next_gen_saves>10%;p95_cpu<70%; strict mode adds 20% safety headroom,30d,SaaS REST APIs; exports; webhooks; collectors,CloudHealth;Densify,current and next-gen sku rates,compute.vm.same-architecture-family,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Replace old generation before downsizing; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0039,"Legacy generation replacement (FinOps, standard)",Compute,VM,FinOps,FinOps Basic Provider Registry + Signal Catalog,RightsizeSku,P0,High,Low,instance_generation;equivalent_next_gen_price_delta;p95_cpu_pct,legacy=true;next_gen_saves>10%;p95_cpu<70%,30d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,CloudHealth;Densify,current and next-gen sku rates,compute.vm.same-architecture-family,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Replace old generation before downsizing; baseline threshold as listed
BR-0040,"Legacy generation replacement (FinOps, strict)",Compute,VM,FinOps,FinOps Basic Provider Registry + Signal Catalog,RightsizeSku,P0,High,Low,instance_generation;equivalent_next_gen_price_delta;p95_cpu_pct,legacy=true;next_gen_saves>10%;p95_cpu<70%; strict mode adds 20% safety headroom,30d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,CloudHealth;Densify,current and next-gen sku rates,compute.vm.same-architecture-family,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Replace old generation before downsizing; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0041,"Burstable credit waste (AWS, standard)",Compute,VM,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,RightsizeSku,P1,High,Medium,cpu_credit_balance;cpu_credit_charge_usd;p95_cpu_pct,credit_charges>$10/mo AND p95_cpu above baseline,30d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,Datadog;Densify,burstable baseline; surplus credit price,compute.vm.same-architecture-family,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Move to non-burst or larger burstable SKU; baseline threshold as listed
