recommendation_id,recommendation_name,recommendation_type,category,subcategory,technology,description,business_impact,estimated_savings_notes,feasibility,feasibility_notes,performance_gain_type,performance_gain_parameter,csp_aws,csp_azure,csp_gcp,csp_oci,saas_finops,saas_flexera,saas_apptio,saas_harness,saas_datadog,saas_cloudhealth,savings_pct_typical,problem_severity,implementation_complexity,priority_notes,remarks,documentation_link,
R022,Object Storage Lifecycle / Tiering,cost_saving,Storage,Object Storage,AWS S3 (IA/Glacier/Deep Archive); Azure Blob (Cool/Archive); GCP Cloud Storage (Nearline/Coldline/Archive); OCI Object Storage (Infrequent Access/Archive),Move objects not accessed for 30+ days to cheaper storage tiers. Apply lifecycle rules for automatic tiering.,20-60% of object storage cost. Very impactful as S3/Blob often grows unbounded.,Objects with no GET request in 30+ days eligible for Infrequent Access tier. 60+ days: Glacier/Archive. Use S3 Storage Lens / Azure Storage metrics / GCP Storage Insights.,Practical,AWS S3 Storage Lens (API; no agent). Azure Blob Storage Insights (Monitor API). GCP Storage Access Logs or Object Lifecycle Policies API. OCI Object Storage Lifecycle API.,,,Yes – S3 Storage Lens + Lifecycle API,Yes – Azure Storage Analytics + Lifecycle Management API,Yes – GCP Cloud Storage Insights + Object Lifecycle API,Yes – OCI Object Lifecycle Management API,Yes,Yes,Yes,Yes,Yes,Yes,20-60%,High,Medium,High impact. Lifecycle rules are self-executing once configured.,AWS S3 Intelligent-Tiering (R069) handles unknown access patterns automatically.,,
R023,OCI Object Storage Lifecycle Management,cost_saving,Storage,Object Storage,OCI Object Storage (Standard → Infrequent Access → Archive tiers),Enable or configure OCI Object Storage lifecycle policies to auto-transition older objects to cheaper tiers.,Same as R022 for OCI; OCI-specific configuration required.,OCI Object Lifecycle Policy not configured or objects > 30 days with no access. OCI Object Storage API.,Practical,OCI Object Storage ListObjects + lifecycle policy check API.,,,No,No,No,Yes – OCI Object Storage API,Yes,Yes,Yes,Partial,Partial,Yes,20-50%,High,Medium,OCI-specific variant of R022.,,,
R024,GCP Cloud Storage Soft Delete Tuning,cost_saving,Storage,Object Storage,GCP Cloud Storage buckets,GCP charges for soft-deleted objects retained beyond the soft delete retention window. Tune or disable when recovery SLA allows.,Reduces storage cost for high-churn buckets. Highly variable depending on deletion rate.,`Soft delete retention bytes > X% of bucket size`. Review soft delete period vs recovery need.,Practical,GCP Cloud Storage API returns bucket-level soft delete config and metrics.,,,No,No,Yes – GCP Cloud Storage API,No,Yes,Yes,Yes,Partial,Partial,Yes,Variable,Medium,Low,GCP-specific. Low complexity; check retention policy.,,,
R025,Orphaned Network Interface (NIC / ENI),cost_saving,Network,NIC,AWS Elastic Network Interface (ENI); Azure NIC,Unused network interfaces not attached to any running instance. Low per-unit cost but accumulates.,Low $ per NIC but contributes to governance debt and occasional hidden costs.,State = available / detached for 7+ days. AWS DescribeNetworkInterfaces; Azure NIC list API.,Practical,Native CSP inventory APIs. No agent. Fast API call.,,,Yes – EC2 DescribeNetworkInterfaces (status=available),Yes – Azure Network Interfaces API (virtualMachine=null),Partial – GCP vNICs bound to VM; not separately listed,Partial – OCI VNIC list,Yes,Yes,Yes,Partial,Partial,Yes,Low,Medium,Low,Low priority. Useful for governance dashboards.,,,
R026,Unused / Orphaned Public IP,cost_saving,Network,IP,AWS Elastic IP; Azure Public IP; GCP External IP; OCI Reserved IP,Static/reserved public IP addresses not associated with any running resource.,AWS charges $0.005/hr per idle EIP. Azure charges for unassociated public IPs. GCP similar. Adds up at scale.,`State = unassociated` (AWS) or `associatedWith = null` (Azure). Use inventory APIs.,Practical,Native CSP IP list APIs return association status. No agent.,,,Yes – EC2 DescribeAddresses (allocationId; no association),Yes – Azure Public IP Addresses API (ipConfiguration=null),Yes – GCP Compute Addresses API (status=RESERVED; no user),Yes – OCI ListPublicIps (lifecycleState=AVAILABLE; no assignment),Yes,Yes,Yes,Yes,Yes,Yes,Low-Medium,Medium,Low,Quick win. Clear signal. Near-zero false positives.,,,
R027,Load Balancer Right-Sizing,cost_saving,Network,Load Balancer,AWS ALB; AWS NLB; Azure Load Balancer; Azure Application Gateway; OCI Load Balancer,Downsize or delete underutilized load balancers. Low throughput / connection count vs fixed hourly cost.,LBs have fixed hourly cost + LCUs. If throughput < 20% of capacity for 30 days savings can be 30-50%.,`Active connections < threshold AND LCU consumption < 20% of capacity` for 30 days.,Practical,CloudWatch ALB metrics (ActiveConnectionCount; RequestCount; ProcessedBytes) native. Azure Monitor LB metrics native. OCI Cloud Advisor LB recommendation.,,,Yes – CloudWatch AWS/ApplicationELB and AWS/NetworkELB metrics,Yes – Azure Monitor Load Balancer metrics,Partial – GCP Cloud Monitoring (Forwarding Rule metrics),Yes – OCI Cloud Advisor Load Balancer recommendation,Yes,Yes,Yes,Yes,Partial,Yes,10-30%,Medium,Medium,Fixed cost resource; strong when genuinely underused.,,,
R028,Azure Front Door / Application Gateway Cost Optimization,cost_saving,Network,Application Gateway,Azure Front Door Classic; Azure Front Door Standard/Premium; Azure Application Gateway,Migrate Front Door Classic to Standard/Premium to avoid per-routing-rule charges. Disable health probes when only one origin exists.,Routing rule and domain charges add up. Unnecessary health probes add cost and latency.,Azure Advisor recommendation. Single origin detected = disable probe. Front Door Classic with >5 rules = migrate.,Practical,Azure Advisor API returns these recommendations natively.,,,No,Yes – Azure Advisor API,No,No,Yes,Yes,Yes,Yes,Partial,Yes,Variable,Medium,Low,Azure-specific. Azure Advisor surfaces these.,,https://learn.microsoft.com/en-us/azure/advisor/advisor-reference-cost-recommendations,
R029,NAT Gateway / Egress Optimization (AWS),cost_saving,Network,NAT,AWS NAT Gateway; AWS VPC Endpoints,Reduce AWS NAT Gateway data processing cost: use VPC Endpoints for S3/DynamoDB (free); consolidate AZs where HA not needed.,NAT Gateway costs $0.045/GB processed. Can be 5-20% of network bill for data-heavy workloads.,NAT processed bytes > threshold AND same-region S3/DynamoDB traffic detected. Use CloudWatch NATGateway metrics.,Practical,CloudWatch AWS/NATGateway (BytesInFromSource; BytesOutToDestination) native.,,,Yes – CloudWatch NATGateway metrics,No,No,No,Yes,Yes,Yes,Partial,Partial,Yes,5-20% network,Medium,Medium,AWS-specific. Architecture change required for VPC endpoints.,,,
R030,Idle Database Instance (RDS / Azure SQL / Cloud SQL / OCI DB),cost_saving,Database,Database,AWS RDS; Azure SQL Database; Azure SQL MI; GCP Cloud SQL; OCI Autonomous DB; OCI Base DB,Identify database instances with negligible connections / CPU / I/O over 14+ days. Recommend stop or delete.,DB spend is often 20-40% of total cloud bill. Idle DBs are completely wasted. Full cost recovered.,`CPU < 5% AND connections < 2 AND IOPS < threshold` for 14 days.,Practical,Native CSP DB metrics APIs: CloudWatch RDS; Azure Monitor SQL; GCP Cloud SQL Monitoring; OCI Monitoring.,,,Yes – CloudWatch AWS/RDS metrics (DatabaseConnections; CPUUtilization),Yes – Azure Monitor SQL Database metrics,Yes – GCP Cloud SQL Monitoring (Queries per second; CPU),Yes – OCI Monitoring DB metrics,Yes,Yes,Yes,Yes,Yes,Yes,20-40% DB,Top,Medium,High $ impact. DB metrics available natively on all CSPs.,,,
R031,Database Instance Rightsizing (RDS / Azure SQL / Cloud SQL),cost_saving,Database,Database,AWS RDS (all engines); Azure SQL Database (DTU/vCore); Azure SQL MI; GCP Cloud SQL,Downsize over-provisioned DB instance to smaller tier or instance type while maintaining performance headroom.,20-40% DB cost reduction. Common after initial over-provisioning.,`Avg CPU < 30% AND memory < 50% of limit` for 14 days. Compare to next smaller tier costs.,Practical,CloudWatch RDS CPUUtilization + FreeableMemory (native; no agent). Azure Monitor SQL. GCP Cloud SQL metrics.,,,Yes – CloudWatch AWS/RDS,Yes – Azure Monitor SQL,Yes – Cloud SQL Monitoring API,Yes – OCI Monitoring,Yes,Yes,Yes,Yes,Yes,Yes,20-40%,Top,Medium,Strong value. Requires DB metric analysis.,,,
R032,Reserved Instances for AWS Database Services,cost_saving,Database,Commitment Discounts,AWS RDS; AWS ElastiCache; AWS Redshift; AWS OpenSearch; AWS MemoryDB,Purchase 1 or 3-year reserved capacity for AWS managed DB services running consistently.,Up to 75% savings vs on-demand. DB services are often the least commitment-optimized.,`On-demand usage > 500 hrs/month` for eligible service. Cost Explorer RI recommendation API.,Practical,AWS Cost Explorer GetReservationRecommendations API (service-level filtering).,,,Yes – Cost Explorer RI Recommendations API,No,No,No,Yes,Yes,Yes,Yes,Partial,Yes,30-75%,Top,Medium,AWS-specific. High value.,,https://docs.aws.amazon.com/cost-management/latest/userguide/ri-recommendations.html,
R033,DynamoDB Reserved Capacity,cost_saving,Database,NoSQL,AWS DynamoDB,Purchase reserved read/write capacity units for DynamoDB tables with predictable access patterns.,30-60% vs on-demand capacity. Tables with steady read/write patterns are ideal candidates.,On-demand WCU/RCU > threshold for 30 days consistently. Cost Explorer DynamoDB RI API.,Practical,AWS Cost Explorer + CloudWatch DynamoDB metrics.,,,Yes – Cost Explorer + CloudWatch AWS/DynamoDB,No,No,No,Yes,Yes,Yes,Partial,Partial,Yes,30-60%,High,Medium,AWS-specific.,,,
R034,Azure Cosmos DB Autoscale Enablement,cost_saving,Database,NoSQL,Azure Cosmos DB (SQL; MongoDB; Cassette APIs),Enable Cosmos DB autoscale to automatically scale down provisioned RU/s during off-peak. Reduces waste without manual management.,Can halve Cosmos DB cost for bursty or variable workloads. Fixed provisioned RU/s wastes money when idle.,`Max RU/s used < 30% of provisioned for 7 days`. Azure Monitor Cosmos DB metrics.,Practical,Azure Monitor Cosmos DB metrics (ProvisionedThroughput; NormalizedRUConsumption) native.,,,No,Yes – Azure Monitor Cosmos DB metrics + Advisor,No,No,Yes,Yes,Yes,Yes,Partial,Yes,Variable,High,Low,Azure-specific. Easy win.,,https://learn.microsoft.com/en-us/azure/cosmos-db/,
R035,Azure Cosmos DB Free Tier Review,cost_saving,Database,NoSQL,Azure Cosmos DB,Flag Cosmos DB accounts exceeding the 1000 RU/s free tier threshold unexpectedly.,Prevents surprise charges above the free tier. Low complexity check.,RU/s consumption API > 1000 for sustained period.,Practical,Azure Monitor Cosmos DB metrics.,,,No,Yes – Azure Monitor,No,No,Yes,Yes,Yes,Partial,Partial,Yes,Variable,Medium,Low,Azure-specific.,,,
R036,GCP Cloud SQL Idle Instance,cost_saving,Database,Database,GCP Cloud SQL (MySQL; PostgreSQL; SQL Server),Stop or delete GCP Cloud SQL instances with no connections / queries for 7+ days.,100% of Cloud SQL instance cost recovered when stopped.,Queries per second = 0 for 7 days. Cloud SQL Recommender API surfaces this natively.,Practical,GCP Recommender API (Cloud SQL idle recommender) + Cloud SQL Monitoring.,,,No,No,Yes – GCP Cloud SQL Idle Recommender API,No,Yes,Yes,Yes,Partial,Partial,Yes,High,High,Low,GCP-specific. Native recommender available.,,https://cloud.google.com/sql/docs/postgres/recommender,
R037,GCP Cloud SQL Overprovisioned Instance,cost_saving,Database,Database,GCP Cloud SQL,Resize overprovisioned Cloud SQL instance to smaller machine type based on CPU/memory usage.,20-40% DB cost reduction for overprovisioned instances.,Avg CPU < 30% for 14 days. Cloud SQL Overprovisioned Recommender API.,Practical,GCP Cloud SQL Overprovisioned Recommender API.,,,No,No,Yes – GCP Cloud SQL Recommender API,No,Yes,Yes,Yes,Partial,Partial,Yes,20-40%,High,Medium,GCP-specific.,,,
R038,OCI Autonomous Database / Exadata Downsize,cost_saving,Database,Database,OCI Autonomous Data Warehouse (ADW); OCI Autonomous Transaction Processing (ATP); OCI Exadata Cloud@Customer,Downsize underutilized OCI Autonomous Database or Exadata VM cluster based on CPU/storage usage.,30-50% DB savings. OCI ADW/ATP is OCPU-based; reducing OCPUs directly reduces cost.,`CPU utilization < 30%` for 14 days. OCI Cloud Advisor DB recommendations.,Practical,OCI Cloud Advisor API + OCI Monitoring DB metrics.,,,No,No,No,Yes – OCI Cloud Advisor DB Recommendation,Yes,Yes,Yes,Partial,Partial,Yes,30-50%,Top,Medium,OCI-specific.,,https://docs.oracle.com/en-us/iaas/Content/CloudAdvisor/Concepts/recommendations.htm,
R039,OCI Base Database System Downsize,cost_saving,Database,Database,OCI Base Database Service (DBCS),Downsize underutilized OCI Base Database (DBCS) system to smaller shape or storage.,Reduce DBCS spend. DBCS is billed by shape and storage.,CPU and storage utilization vs provisioned. OCI Cloud Advisor.,Practical,OCI Cloud Advisor API + OCI Monitoring.,,,No,No,No,Yes – OCI Cloud Advisor,Yes,Yes,Yes,Partial,Partial,Yes,20-40%,High,Medium,OCI-specific.,,,
R040,OCI Enable Database Management Service,cost_saving,Database,Database,OCI Database Management Service,Detect OCI databases with Database Management Service disabled. Enabling it unlocks deeper optimization recommendations.,Indirect saving: enables access to performance hub and rightsizing insights. Pre-requisite for deeper OCI DB advisories.,OCI ListManagedDatabases: databases without management enabled.,Practical,OCI Database Management API.,,,No,No,No,Yes – OCI Database Management API,Yes,Partial,Partial,No,No,Partial,Indirect,Medium,Low,Enablement recommendation. Flag as pre-requisite for R038/R039.,,,
