rule_id,recommendation_id,rule_name,technology,metric_name,metric_collection_method,native_api_available,native_api_name,agent_required,agent_name,trend_days_required,rule_trigger,feasibility,savings_pct_typical,problem_severity,implementation_complexity,priority_score,savings_priority_rank,notes,
RL011,R011,PaaS Idle Invocations,AWS Lambda (idle); Azure App Service; Azure Functions; GCP Cloud Functions,Invocation count; Request count; Execution count,Native API,Yes,AWS: CloudWatch Invocations metric namespace=AWS/Lambda | Azure: Monitor Requests metric | GCP: Cloud Monitoring cloudfunctions.googleapis.com/function/execution_count,No,,14,Invocations or requests = 0 for 14 consecutive days → STOP or DELETE recommendation.,Practical,Variable (100% idle),High,Medium,2,11,,
RL012,R012,Lambda Memory and Duration Efficiency,AWS Lambda; GCP Cloud Functions,Memory Size (MB); Max Memory Used (MB); Duration (ms); ConcurrentExecutions; ProvisionedConcurrencyUtilization,Native API,Yes,AWS: CloudWatch MaxMemoryUsed + Duration + ConcurrentExecutions namespace=AWS/Lambda | GCP: function/user_memory_bytes + function/execution_times,No,,7,Max memory used < 60% of allocated for 7 days → reduce memory. Provisioned concurrency utilization < 60% → reduce provisioned concurrency.,Practical,10-50%,High,Medium,2,12,AWS Lambda publishes MaxMemoryUsed metric. No agent needed.,
RL013,R013,ECS Fargate Task Right-Sizing,AWS ECS Fargate,Task CPU Utilization %; Task Memory Utilization %,Agent Required (Container Insights),Yes,AWS: CloudWatch Container Insights metric namespace=ECS/ContainerInsights MetricName=CpuUtilized + MemoryUtilized,Yes,AWS CloudWatch Container Insights (enable per cluster in ECS settings),7,Avg CPU utilized < 50% of task CPU definition AND avg memory utilized < 60% of task memory definition for 7 days → reduce task definition.,Practical,10-30%,High,Medium,2,13,Container Insights must be enabled on ECS cluster. Additional CloudWatch cost applies.,
RL014,R014,Kubernetes Pod CPU/Memory Rightsizing,Kubernetes (EKS; AKS; GKE),Pod CPU Usage (millicores); Pod Memory Usage (Mi/Gi); CPU Request setting; Memory Request/Limit setting,Metrics Server / Prometheus / Container Insights,Yes (Metrics Server deployable),Kubernetes: kubectl top pods OR Metrics Server API /apis/metrics.k8s.io/v1beta1/pods | AWS: CloudWatch Container Insights | Azure: Azure Monitor Container Insights | GCP: GKE Cloud Monitoring,Yes,Kubernetes Metrics Server (kubectl apply metrics-server manifest; not installed by default) OR Prometheus + kube-state-metrics,7,Avg CPU usage < 50% of CPU request for 7 days OR avg memory usage < 60% of memory limit → reduce requests/limits.,Practical,10-30%,High,Medium,2,14,Metrics Server required. Alternatively use CloudWatch Container Insights (AWS) / Azure Monitor for Containers / GCP Cloud Monitoring. All require agent in cluster.,
RL015,R015,Kubernetes Node Pool Rightsizing,EKS node groups; AKS node pools; GKE node pools,Node CPU Allocatable; Node CPU Requested; Node Memory Allocatable; Node Memory Requested; Cluster Autoscaler scale-out events,Agent Required (Metrics Server),Yes (via K8s API + Metrics Server),Kubernetes API: GET /api/v1/nodes (allocatable) + Metrics Server for usage | AWS CloudWatch Container Insights: node_cpu_utilization | GCP: GKE cluster metrics,Yes,Kubernetes Metrics Server or CloudWatch Container Insights / GCP Cloud Monitoring / Azure Monitor,7,CPU requested across all pods < 60% of allocatable capacity for all nodes for 7 days AND Cluster Autoscaler logged 0 scale-out events → reduce min node count or node type.,Practical,10-25%,High,High,2,15,,
RL016,R016,Idle Kubernetes Cluster Detection,GKE; AKS; EKS,Pod count (user workloads); Node count; CPU utilization across cluster,Agent Required (K8s API),Yes,Kubernetes API: GET /api/v1/pods (count non-system pods) | AWS: ListClusters + DescribeNodegroup | Azure: AKS API | GCP: GKE Clusters API + GKE Idle Recommender API,Yes,Kubernetes API access (kubectl or equivalent),7,Non-system pod count = 0 for 7 days → STOP or DELETE cluster recommendation. GKE: consume native idle cluster recommender.,Practical,High,High,Medium,2,16,GKE has native idle cluster recommender via GCP Recommender API.,
RL017,R017,SageMaker Savings Plan Coverage,AWS SageMaker,SageMaker on-demand spend; Coverage hours by usage type,CSP Billing API,Yes,AWS: Cost Explorer GetSavingsPlansCoverage API (Service=AmazonSageMaker) | GetSavingsPlansPurchaseRecommendation,No,,30,SageMaker on-demand spend > $500/month for 30 days → recommend SageMaker Savings Plan purchase.,Practical,30-50%,Medium,Medium,3,17,,
RL018,R018,Orphaned Disk Detection,AWS EBS; Azure Managed Disk; GCP Persistent Disk; OCI Block Volume,Disk attachment status; Disk creation date; Disk size (GB),Native API (Inventory),Yes,AWS: EC2 DescribeVolumes API (State=available; no attachment) | Azure: Compute Disks API (diskState=Unattached) | GCP: Compute Disks API (status=READY; users=[]) | OCI: ListVolumes API (lifecycleState=AVAILABLE; volumeAttachments=[]),No,,30,State = unattached AND age > 30 days from creation/detachment date → recommend SNAPSHOT then DELETE.,Practical,5-15% storage,Top,Low,1,2,Near-zero false positive rate. Save snapshot before recommending deletion.,
RL019,R019,OCI Orphaned Boot Volume,OCI Boot Volume,Boot volume lifecycle state; Boot volume attachment list,Native API (Inventory),Yes,OCI: ListBootVolumes + ListBootVolumeAttachments API (noAttachment = true),No,,30,Boot volume lifecycle=AVAILABLE AND no attachment for 30+ days → recommend snapshot + delete.,Practical,5-15%,High,Low,2,18,,
RL020,R020,EBS gp2 to gp3 Migration,AWS EBS (gp2; io1; io2),Volume type; Provisioned IOPS; Actual IOPS (VolumeReadOps + VolumeWriteOps); Volume size (GB),Native API,Yes,AWS: EC2 DescribeVolumes (volumeType; iops; size) | CloudWatch VolumeReadOps + VolumeWriteOps namespace=AWS/EBS,No,,30,Volume type = gp2 → always recommend review for gp3 migration. For io1/io2: avg actual IOPS < 33% of provisioned IOPS for 30 days → reduce provisioned IOPS.,Practical,10-20%,High,Low,2,10,gp2 → gp3 migration: 20% cheaper; 3000 free IOPS included. Zero risk migration. Batch identify all gp2 volumes.,
RL021,R021,Old Snapshot and Image Detection,AWS AMI/Snapshot; Azure Snapshot; GCP Snapshot; OCI Snapshot,Snapshot/image creation date; Snapshot size (GB); AMI → Snapshot dependency mapping,Native API (Inventory),Yes,AWS: EC2 DescribeSnapshots + DescribeImages (check if AMI uses snapshot) | Azure: Compute Snapshots API (creationData.creationOption; timeCreated) | GCP: Compute Snapshots API (creationTimestamp) | OCI: ListVolumeBackups + ListBootVolumeBackups,No,,90,Age > 90 days AND no AMI registered from snapshot (AWS) AND no restore in past 90 days → recommend DELETE. Must check AMI dependency first.,Practical,5-20% storage,High,Medium,2,11,Dependency check is critical. AWS: DescribeImages to check snapshots used by AMIs before recommending deletion.,
RL022,R022,Object Storage Last Access Analysis,AWS S3; Azure Blob; GCP Cloud Storage; OCI Object Storage,Object last access time; Object age; Bucket/container storage class; Current tier costs,Native API + Storage Analytics,Yes,AWS: S3 Storage Lens (LastAccessedDate per bucket) + GetBucketLifecycleConfiguration | Azure: Storage Analytics Logs (enable LastAccessTimeTracking) + BlobProperties.LastAccessTime | GCP: Cloud Storage Insights + Storage Access Logs | OCI: Object Storage ListObjects (timeLastModified),No,,30,Object not accessed in 30+ days → recommend IA tier. 60+ days → Glacier/Archive. No lifecycle rule configured → recommend lifecycle rule creation.,Practical,20-60%,High,Medium,2,12,AWS S3 Storage Lens is free at account level. Last access time tracking in Azure must be explicitly enabled.,
RL023,R023,OCI Object Lifecycle Policy Check,OCI Object Storage,Lifecycle policy existence; Object age; Last access time,Native API,Yes,OCI: GetBucketLifecyclePolicy + ListObjects API,No,,1,No lifecycle policy configured on bucket AND objects > 30 days old → recommend lifecycle policy enabling.,Practical,20-50%,High,Medium,3,19,,
RL024,R024,GCP Cloud Storage Soft Delete Cost,GCP Cloud Storage,Soft delete retention policy; Soft deleted bytes; Bucket churn rate,Native API,Yes,GCP: Cloud Storage API getBucket (softDeletePolicy) + getSoftDeleteBuckets metrics,No,,7,Soft deleted bytes > 20% of total bucket size AND retention > 7 days → recommend reducing soft delete retention.,Practical,Variable,Medium,Low,3,20,,
RL025,R025,Orphaned NIC Detection,AWS ENI; Azure NIC,NIC attachment status; NIC creation date; Associated resource ID,Native API (Inventory),Yes,AWS: EC2 DescribeNetworkInterfaces (status=available; no attachment) | Azure: Network Interfaces API (properties.virtualMachine=null),No,,7,Status = available / unattached AND age > 7 days → recommend DELETE.,Practical,Low,Medium,Low,3,21,,
RL026,R026,Unused Public IP Detection,AWS EIP; Azure Public IP; GCP External IP; OCI Reserved IP,IP association status; IP type (static/reserved); Associated resource,Native API (Inventory),Yes,AWS: EC2 DescribeAddresses (allocationId; publicIp; networkInterfaceId=null) | Azure: Network PublicIPAddresses API (ipConfiguration=null) | GCP: Compute Addresses API (status=RESERVED; users=[]) | OCI: ListPublicIps (lifecycleState=AVAILABLE; assignedEntityType=null),No,,7,Associated resource = null AND IP is static/reserved → recommend RELEASE.,Practical,Low-Medium,Medium,Low,3,22,,
RL027,R027,Load Balancer Utilization,AWS ALB/NLB; Azure Load Balancer; OCI LB,Active connection count; RequestCount; ProcessedBytes; LCU consumption; HealthyHostCount,Native API,Yes,AWS: CloudWatch ActiveConnectionCount + RequestCount + ProcessedBytes + ConsumedLCUs namespace=AWS/ApplicationELB | Azure: Monitor ActiveConnections + ByteCount | GCP: Cloud Monitoring forwarding_rule/current_services_count | OCI: Cloud Advisor LB metric,No,,30,Active connections < 10 AND RequestCount < 100/hour AND LCU < 20% of min LCU for 30 days → recommend DOWNSIZE or DELETE.,Practical,10-30%,Medium,Medium,3,23,,
RL028,R028,Azure Front Door Classic Migration,Azure Front Door Classic; Azure Application Gateway,Routing rule count; Origin count; Azure Advisor recommendation,CSP Recommender API,Yes,Azure Advisor Recommendations API: GET /providers/Microsoft.Advisor/recommendations?filter=category eq 'Cost',No,,1,Azure Advisor recommendation exists for Front Door Classic → surface and recommend migration. Single origin = disable health probe.,Practical,Variable,Medium,Low,3,24,,
RL029,R029,AWS NAT Gateway Traffic Analysis,AWS NAT Gateway; AWS VPC,BytesInFromSource; BytesOutToSource by destination (S3; DynamoDB; same-region service),Native API,Yes,AWS: CloudWatch BytesInFromSource + BytesOutToSource namespace=AWS/NATGateway | VPC Flow Logs (optional for per-destination breakdown),No,,30,NAT processed bytes > 100 GB/month AND destination includes S3 or DynamoDB → recommend VPC Endpoint creation.,Practical,5-20% network,Medium,Medium,3,25,VPC Flow Logs optional but needed for destination-level analysis. VPC Flow Logs have additional cost.,
RL030,R030,Idle Database Instance Detection,AWS RDS; Azure SQL; GCP Cloud SQL; OCI DB,DatabaseConnections (count); CPUUtilization %; FreeableMemory; DiskReadIOPS + DiskWriteIOPS,Native API,Yes,AWS: CloudWatch DatabaseConnections + CPUUtilization namespace=AWS/RDS | Azure: Monitor connection_failed + cpu_percent + SqlServerProcessCorePercent namespace SQL DB | GCP: Cloud SQL Monitoring cloudsql.googleapis.com/database/cpu/utilization + database/postgresql/num_backends | OCI: Monitoring DB metrics,No,,14,Avg connections < 2 AND avg CPU < 5% AND IOPS < 10 for 14 days → recommend STOP or DELETE.,Practical,20-40% DB,Top,Medium,1,3,DB metrics native on all CSPs. FreeableMemory and ConnectionCount most reliable idle signals.,
RL031,R031,Database Instance Rightsizing,AWS RDS; Azure SQL; GCP Cloud SQL,CPUUtilization %; FreeableMemory (GB); Database connections; Read/Write IOPS,Native API,Yes,AWS: CloudWatch CPUUtilization + FreeableMemory + ReadIOPS + WriteIOPS namespace=AWS/RDS | Azure: Monitor cpu_percent + memory_percent | GCP: Cloud SQL Monitoring cpu/utilization + memory/usage,No,,14,Avg CPU < 30% AND FreeableMemory > 50% of total for 14 days → recommend smaller instance class.,Practical,20-40%,Top,Medium,1,4,,
RL032,R032,AWS DB Service RI Coverage,AWS RDS; ElastiCache; Redshift; OpenSearch; MemoryDB,On-demand usage hours by service and instance type; RI covered hours,CSP Billing API,Yes,AWS: Cost Explorer GetReservationCoverage API (Service filter: AmazonRDS; AmazonElastiCache; AmazonRedshift; AmazonES; AmazonMemoryDB) | GetReservationPurchaseRecommendation,No,,30,Coverage < 80% for each service × instance type combination → recommend RI purchase.,Practical,30-75%,Top,Medium,1,5,,
RL033,R033,DynamoDB Reserved Capacity Coverage,AWS DynamoDB,WCU hours; RCU hours; On-demand vs provisioned mode; Reserved capacity hours,CSP Billing API,Yes,AWS: Cost Explorer GetReservationCoverage (Service=AmazonDynamoDB) | CloudWatch AWS/DynamoDB ConsumedReadCapacityUnits + ConsumedWriteCapacityUnits,No,,30,Provisioned mode AND consumed capacity stable (std deviation < 20%) for 30 days → recommend reserved capacity.,Practical,30-60%,High,Medium,2,13,,
RL034,R034,Cosmos DB RU/s Autoscale,Azure Cosmos DB,ProvisionedThroughput (RU/s); NormalizedRUConsumption %; MaxProvisionedThroughput,Native API,Yes,Azure Monitor: Microsoft.DocumentDB/databaseAccounts metrics NormalizedRUConsumption + ProvisionedThroughput,No,,7,NormalizedRUConsumption < 30% of provisioned for 7 days → recommend enabling autoscale.,Practical,Variable,High,Low,2,14,,
RL035,R035,Cosmos DB Free Tier Threshold,Azure Cosmos DB,RU/s consumption; Free tier eligibility,Native API,Yes,Azure Monitor: Cosmos DB ProvisionedThroughput + NormalizedRUConsumption,No,,1,Consumption consistently > 1000 RU/s → review free tier assumptions and optimize.,Practical,Variable,Medium,Low,3,25,,
RL036,R036,GCP Cloud SQL Idle Instance,GCP Cloud SQL,Queries per second; CPU utilization; Database connections,CSP Recommender API + Native,Yes,GCP: Cloud SQL Idle Recommender API (projects/{}/locations/{}/recommenders/google.cloudsql.instance.IdleRecommender/recommendations) | Cloud SQL Monitoring cloudsql.googleapis.com/database/cpu/utilization,No,,7,GCP Recommender flags instance as idle (0 queries for 7 days) → surface recommendation.,Practical,High,High,Low,2,15,,
RL037,R037,GCP Cloud SQL Overprovisioned,GCP Cloud SQL,CPU utilization %; Memory usage %; Disk utilization %,CSP Recommender API,Yes,GCP: Cloud SQL Overprovisioned Recommender API (projects/{}/locations/{}/recommenders/google.cloudsql.instance.OverprovisionedRecommender/recommendations),No,,14,GCP Recommender surfaces overprovisioned recommendation → consume and normalize.,Practical,20-40%,High,Medium,2,16,,
RL038,R038,OCI Autonomous DB Utilization,OCI ADW; OCI ATP; OCI Exadata,OCPU utilization %; Storage utilization %; ECPU count,Native API,Yes,OCI Monitoring API: CpuUtilization + StorageUtilization for Autonomous Database | OCI Cloud Advisor listRecommendations (categoryName=COST_MANAGEMENT),No,,14,Avg CPU utilization < 30% for 14 days → recommend OCPU count reduction.,Practical,30-50%,Top,Medium,1,6,,
RL039,R039,OCI Base Database Rightsizing,OCI Base Database Service,CPU utilization %; Storage utilization %,Native API,Yes,OCI Monitoring API: CpuUtilization on DBCS | OCI Cloud Advisor,No,,14,Avg CPU < 30% for 14 days → recommend smaller DBCS shape.,Practical,20-40%,High,Medium,2,17,,
RL040,R040,OCI Database Management Enablement,OCI Database Management Service,Database Management service status,Native API (Inventory),Yes,OCI Database Management API: ListManagedDatabases (lifecycleState check),No,,1,Database Management not enabled → recommend enabling (unlocks performance hub and optimization).,Practical,Indirect,Medium,Low,3,26,,
RL041,R041,GCP BigQuery Slot Commitment,GCP BigQuery,Slot utilization hours; On-demand slot spend; Job count and duration,CSP Recommender API,Yes,GCP: BigQuery Recommender API (projects/{}/locations/US/recommenders/google.bigquery.capacityCommitments.Recommender/recommendations) | BigQuery jobs API to analyse slot usage,No,,30,On-demand slot usage stable and > baseline for 30 days → recommend slot commitment purchase.,Practical,30-50%,High,Medium,2,18,,
RL042,R042,BigQuery Table Partitioning,GCP BigQuery,Bytes processed per job; Full table scan rate %; Table size (GB); Current partitioning status,CSP Recommender API,Yes,GCP: BigQuery Recommender API (google.bigquery.table.PartitionClusterRecommender) | BigQuery INFORMATION_SCHEMA.JOBS_BY_PROJECT for scan analysis,No,,30,Table > 1 GB AND > 50% of jobs do full table scan AND no partitioning configured → recommend partition + cluster strategy.,Practical,10-40%,High,Medium,2,19,,
RL043,R043,Data Warehouse Idle Cluster,AWS Redshift; Azure Synapse; Snowflake,DatabaseConnections (count); CPUUtilization; QueryCount / jobs running,Native API (CSP); Snowflake ACCOUNT_USAGE,Yes (AWS/Azure); Partial (Snowflake),AWS: CloudWatch DatabaseConnections + CPUUtilization namespace=AWS/Redshift | Azure: Monitor Synapse SQLPool CPUPercentage + DWUConsumption | Snowflake: ACCOUNT_USAGE.WAREHOUSE_METERING_HISTORY (query from Snowflake; not CSP API),No,,7,AWS/Azure: Connections = 0 AND CPU < 5% for 7 days → PAUSE or DELETE. Snowflake: warehouse credits = 0 for 7 days.,Practical,Variable,High,Medium,2,20,Snowflake ACCOUNT_USAGE requires Snowflake ACCOUNTADMIN or ORGADMIN role. Not a native CSP API.,
RL044,R044,GCP Cloud Run CPU Model,GCP Cloud Run,Request rate (requests/s); CPU utilization; Instance count; CPU allocation model,CSP Recommender API,Yes,GCP: Recommender API (google.run.service.IdentityActivityRecommender or CPU allocation recommender) | Cloud Monitoring cloudrun.googleapis.com/container/cpu/utilization,No,,7,Low frequency Cloud Run service with CPU allocation = always-on → recommend CPU only on request. High frequency → keep always-on.,Practical,Variable,Medium,Low,3,21,,
RL045,R045,Azure Hybrid Benefit Detection,Azure VM; Azure SQL Database; Azure SQL MI,VM OS license type; SQL license type; Hybrid Benefit flag,Native API (Inventory),Yes,Azure Resource Manager: GET /subscriptions/{}/resourceGroups/{}/providers/Microsoft.Compute/virtualMachines - check properties.licenseType = None (should be Windows_Server) | Azure Advisor Recommendations API (RecommendationTypeId=BuyHybridBenefit),No,,1,VM licenseType != Windows_Server AND VM is running Windows OS AND customer has MSFT SA → recommend Azure Hybrid Benefit.,Practical,Up to 40%,High,Low,2,8,Azure Advisor surfaces this. Also detectable from ARM API resource properties.,
RL046,R046,Spot/Preemptible Eligibility,EC2; Azure VM; GCP GCE,Instance type (on-demand); Workload tag (environment; type); Interruption tolerance tag,Native API (Inventory) + Tagging,Yes,AWS: EC2 DescribeInstances (InstanceLifecycle != spot) + tags | Azure: VM list with tags | GCP: Compute Instances API with scheduling.preemptible flag,No,,1,On-demand instance tagged env=dev/test OR type=batch/CI/ML-training AND not already spot/preemptible → recommend spot/preemptible migration.,Practical,50-90%,High,Medium,2,9,Requires workload tagging convention. Without tags; engineering review needed.,
RL047,R047,Azure Data Explorer Cluster Utilization,Azure Data Explorer (ADX),CPU utilization %; Ingestion rate; Query count,Native API,Yes,Azure Monitor: Microsoft.Kusto/clusters metrics CPUutilization + IngestionLatencyInSeconds + QueryDuration,No,,7,Avg CPU < 30% AND ingestion rate < threshold for 7 days → recommend smaller cluster or downgrade SKU.,Practical,Variable,Medium,Medium,3,22,,
RL048,R048,OCI Compute Monitoring Status,OCI Compute,Monitoring plugin status per instance,Native API (Inventory),Yes,OCI Instance Agent API: listInstancePlugins + GetInstancePlugin (check monitoring plugin status),No,,1,Monitoring plugin disabled on compute instance → recommend enabling.,Practical,Indirect,Medium,Low,3,27,,
RL049,R049,Missing Tag Detection,All cloud resources,Tag key presence; Required tag set; Untagged resource cost,Native API (Tagging),Yes,AWS: Resource Groups Tagging API GetResources (tagFilters = required tags missing) | Azure: Resource Graph query | GCP: Cloud Asset Inventory ListAssets with policy filter | OCI: Search API,No,,1,Required tags (env; team; project; cost-center) missing on resource → recommend tagging.,Practical,Indirect,High,Medium,2,11,AWS Config rules can enforce tag compliance. Azure Policy. GCP Organization Policy.,
RL050,R050,Cost Anomaly Detection,All cloud resources,Daily/hourly cost; Cost baseline (7-day rolling avg); Anomaly score,CSP Billing API + Anomaly Engine,Yes,AWS: Cost Anomaly Detection API GetAnomalies | Azure: Cost Management Alerts API | GCP: Billing Budget API alerts,No,,1,Spend > 2σ above rolling 7-day baseline → alert with anomaly details.,Practical,Variable (risk reduction),High,Low,1,1,AWS Cost Anomaly Detection is free. Azure and GCP budget alerts are free.,
RL051,R051,Oracle SGA Utilization,Oracle Database,SGA_TARGET; SGA_MAX_SIZE; Buffer Cache Hit Ratio; Physical Reads,DB Observability Agent (Oracle EM or AWR query),No,,Agent required,Oracle Enterprise Manager Agent (deployed on DB server) OR direct AWR query (SELECT * FROM v$sga_dynamic_free_memory; v$instance_recovery),1,SGA_TARGET < SGA_MAX_SIZE AND cache hit ratio < 90% → recommend extending SGA_TARGET.,Specialized,,Medium,High,4,28,Oracle AWR/ADDM access required. Not available via CSP native monitoring APIs.,
RL052,R052,Oracle Buffer Cache Analysis,Oracle Database,DB_CACHE_SIZE; DB_CACHE_ADVICE (recommended size); Buffer Hit Ratio,DB Observability Agent (Oracle EM or AWR),No,,Agent required,Oracle: SELECT * FROM v$db_cache_advice; v$sysstat (where name='db block gets' and name='consistent gets' and name='physical reads'),1,Cache hit ratio < 95% AND DB_CACHE_ADVICE shows benefit from larger cache → increase DB_CACHE_SIZE.,Specialized,,Medium,High,4,29,Oracle DB-level observability required.,
RL053,R053,Oracle High Logical Reads,Oracle Database,Logical Reads per second (AWR Load Profile); Logical Reads per transaction,DB Observability Agent (Oracle EM or AWR),No,,Agent required,Oracle AWR Load Profile: Logical reads per sec / per transaction | AWR top SQL report,1,Logical reads per second > 50000 (or > 10x per-CPU baseline) → recommend SQL tuning or index analysis.,Specialized,,Medium,High,4,30,High logical reads often caused by full table scans or Cartesian joins. AWR Top SQL identifies the culprit.,
RL054,R054,Oracle Instance Efficiency Check,Oracle Database,Buffer Nowait %; Redo Nowait %; Library Cache Hit %; Dictionary Cache Hit %; Soft Parse %,DB Observability Agent (Oracle EM or AWR),No,,Agent required,Oracle: SELECT * FROM v$sysstat to compute: 1-(phy reads)/(db block gets + consistent gets) = cache hit ratio; soft parse ratio from v$sql,1,Buffer Nowait < 99% OR Library Hit < 99% OR Soft Parse Ratio < 95% → recommend configuration tuning or increased SGA.,Specialized,,Medium,High,4,31,,
RL055,R055,Oracle Physical Reads Analysis,Oracle Database,Physical Reads per second; Physical Read Total IO Requests; Physical Read Bytes,DB Observability Agent (Oracle EM or AWR),No,,Agent required,Oracle AWR: Physical reads from Load Profile | v$sysstat physical reads,1,Physical reads > threshold indicating cache miss or bad SQL → analyze and fix; may allow smaller EBS/storage tier.,Specialized,,Medium,High,4,32,,
