id,recommendation_name,category,sub_category,provider_scope,source_provider,recommendation_type,priority,end_user_value,implementation_complexity,primary_metrics,baseline_thresholds,lookback_window,native_or_saas_data_source,third_party_saas_options,product_catalog_dependency,compatibility_group,onboarding_to_engine,basic_engine_support,notes_and_guardrails,recommendation_definition,expected_benefits,configurator_showcase,advisory_source,advisory_id,advisory_layer
BR-0011,"VM rightsize down (AWS, standard)",Compute,VM,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap,14d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; baseline threshold as listed,VM rightsize down identifies over- or under-sized resources and proposes a better-matched SKU or allocation for AWS Compute / VM using p95_cpu_pct;p95_mem_pct;p95_network_pct over a 14d lookback.,"Reduces overprovisioning, improves utilization, and keeps performance headroom explicit. Expected value: Very High; implementation complexity: Medium.","Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0012,"VM rightsize down (AWS, strict)",Compute,VM,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap; strict mode adds 20% safety headroom,14d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; prod-safe threshold: require +20% stronger evidence and owner approval,VM rightsize down identifies over- or under-sized resources and proposes a better-matched SKU or allocation for AWS Compute / VM using p95_cpu_pct;p95_mem_pct;p95_network_pct over a 14d lookback.,"Reduces overprovisioning, improves utilization, and keeps performance headroom explicit. Expected value: Very High; implementation complexity: Medium.","Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0013,"VM rightsize down (Azure, standard)",Compute,VM,Azure,Azure Advisor / Azure Monitor / Cost Management,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap,14d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; baseline threshold as listed,VM rightsize down identifies over- or under-sized resources and proposes a better-matched SKU or allocation for Azure Compute / VM using p95_cpu_pct;p95_mem_pct;p95_network_pct over a 14d lookback.,"Reduces overprovisioning, improves utilization, and keeps performance headroom explicit. Expected value: Very High; implementation complexity: Medium.","Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0014,"VM rightsize down (Azure, strict)",Compute,VM,Azure,Azure Advisor / Azure Monitor / Cost Management,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap; strict mode adds 20% safety headroom,14d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; prod-safe threshold: require +20% stronger evidence and owner approval,VM rightsize down identifies over- or under-sized resources and proposes a better-matched SKU or allocation for Azure Compute / VM using p95_cpu_pct;p95_mem_pct;p95_network_pct over a 14d lookback.,"Reduces overprovisioning, improves utilization, and keeps performance headroom explicit. Expected value: Very High; implementation complexity: Medium.","Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0015,"VM rightsize down (GCP, standard)",Compute,VM,GCP,Google Cloud Recommender / Monitoring / Billing Export,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap,14d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; baseline threshold as listed,VM rightsize down identifies over- or under-sized resources and proposes a better-matched SKU or allocation for GCP Compute / VM using p95_cpu_pct;p95_mem_pct;p95_network_pct over a 14d lookback.,"Reduces overprovisioning, improves utilization, and keeps performance headroom explicit. Expected value: Very High; implementation complexity: Medium.","Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0016,"VM rightsize down (GCP, strict)",Compute,VM,GCP,Google Cloud Recommender / Monitoring / Billing Export,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap; strict mode adds 20% safety headroom,14d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; prod-safe threshold: require +20% stronger evidence and owner approval,VM rightsize down identifies over- or under-sized resources and proposes a better-matched SKU or allocation for GCP Compute / VM using p95_cpu_pct;p95_mem_pct;p95_network_pct over a 14d lookback.,"Reduces overprovisioning, improves utilization, and keeps performance headroom explicit. Expected value: Very High; implementation complexity: Medium.","Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0017,"VM rightsize down (SaaS, standard)",Compute,VM,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap,14d,SaaS REST APIs; exports; webhooks; collectors,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; baseline threshold as listed,VM rightsize down identifies over- or under-sized resources and proposes a better-matched SKU or allocation for SaaS Compute / VM using p95_cpu_pct;p95_mem_pct;p95_network_pct over a 14d lookback.,"Reduces overprovisioning, improves utilization, and keeps performance headroom explicit. Expected value: Very High; implementation complexity: Medium.","Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0018,"VM rightsize down (SaaS, strict)",Compute,VM,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap; strict mode adds 20% safety headroom,14d,SaaS REST APIs; exports; webhooks; collectors,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; prod-safe threshold: require +20% stronger evidence and owner approval,VM rightsize down identifies over- or under-sized resources and proposes a better-matched SKU or allocation for SaaS Compute / VM using p95_cpu_pct;p95_mem_pct;p95_network_pct over a 14d lookback.,"Reduces overprovisioning, improves utilization, and keeps performance headroom explicit. Expected value: Very High; implementation complexity: Medium.","Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0019,"VM rightsize down (FinOps, standard)",Compute,VM,FinOps,FinOps Basic Provider Registry + Signal Catalog,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap,14d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; baseline threshold as listed,VM rightsize down identifies over- or under-sized resources and proposes a better-matched SKU or allocation for FinOps Compute / VM using p95_cpu_pct;p95_mem_pct;p95_network_pct over a 14d lookback.,"Reduces overprovisioning, improves utilization, and keeps performance headroom explicit. Expected value: Very High; implementation complexity: Medium.","Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0020,"VM rightsize down (FinOps, strict)",Compute,VM,FinOps,FinOps Basic Provider Registry + Signal Catalog,RightsizeSku,P0,Very High,Medium,p95_cpu_pct;p95_mem_pct;p95_network_pct,p95_cpu<40%;p95_mem<60%;p95_network<60% target cap; strict mode adds 20% safety headroom,14d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,Compute Optimizer;Azure Advisor;GCP Recommender;Densify,source sku; target sku; price delta,compute.vm.same-architecture-family,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Preserve configured headroom; prod-safe threshold: require +20% stronger evidence and owner approval,VM rightsize down identifies over- or under-sized resources and proposes a better-matched SKU or allocation for FinOps Compute / VM using p95_cpu_pct;p95_mem_pct;p95_network_pct over a 14d lookback.,"Reduces overprovisioning, improves utilization, and keeps performance headroom explicit. Expected value: Very High; implementation complexity: Medium.","Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0021,"VM underprovisioned upsize (AWS, standard)",Compute,VM,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,RightsizeSku,P1,High,Medium,p95_cpu_pct;p95_mem_pct;throttle_pct,p95_cpu>85% OR p95_mem>90% OR throttle>5%,7d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,Densify;Datadog,source/target sku and rate increase,compute.vm.same-architecture-family,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,"Performance recommendation, not direct saving; baseline threshold as listed",VM underprovisioned upsize identifies over- or under-sized resources and proposes a better-matched SKU or allocation for AWS Compute / VM using p95_cpu_pct;p95_mem_pct;throttle_pct over a 7d lookback.,"Reduces overprovisioning, improves utilization, and keeps performance headroom explicit. Expected value: High; implementation complexity: Medium.","Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0022,"VM underprovisioned upsize (AWS, strict)",Compute,VM,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,RightsizeSku,P1,High,Medium,p95_cpu_pct;p95_mem_pct;throttle_pct,p95_cpu>85% OR p95_mem>90% OR throttle>5%; strict mode adds 20% safety headroom,7d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,Densify;Datadog,source/target sku and rate increase,compute.vm.same-architecture-family,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,"Performance recommendation, not direct saving; prod-safe threshold: require +20% stronger evidence and owner approval",VM underprovisioned upsize identifies over- or under-sized resources and proposes a better-matched SKU or allocation for AWS Compute / VM using p95_cpu_pct;p95_mem_pct;throttle_pct over a 7d lookback.,"Reduces overprovisioning, improves utilization, and keeps performance headroom explicit. Expected value: High; implementation complexity: Medium.","Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0023,"VM underprovisioned upsize (Azure, standard)",Compute,VM,Azure,Azure Advisor / Azure Monitor / Cost Management,RightsizeSku,P1,High,Medium,p95_cpu_pct;p95_mem_pct;throttle_pct,p95_cpu>85% OR p95_mem>90% OR throttle>5%,7d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,Densify;Datadog,source/target sku and rate increase,compute.vm.same-architecture-family,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,"Performance recommendation, not direct saving; baseline threshold as listed",VM underprovisioned upsize identifies over- or under-sized resources and proposes a better-matched SKU or allocation for Azure Compute / VM using p95_cpu_pct;p95_mem_pct;throttle_pct over a 7d lookback.,"Reduces overprovisioning, improves utilization, and keeps performance headroom explicit. Expected value: High; implementation complexity: Medium.","Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0024,"VM underprovisioned upsize (Azure, strict)",Compute,VM,Azure,Azure Advisor / Azure Monitor / Cost Management,RightsizeSku,P1,High,Medium,p95_cpu_pct;p95_mem_pct;throttle_pct,p95_cpu>85% OR p95_mem>90% OR throttle>5%; strict mode adds 20% safety headroom,7d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,Densify;Datadog,source/target sku and rate increase,compute.vm.same-architecture-family,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,"Performance recommendation, not direct saving; prod-safe threshold: require +20% stronger evidence and owner approval",VM underprovisioned upsize identifies over- or under-sized resources and proposes a better-matched SKU or allocation for Azure Compute / VM using p95_cpu_pct;p95_mem_pct;throttle_pct over a 7d lookback.,"Reduces overprovisioning, improves utilization, and keeps performance headroom explicit. Expected value: High; implementation complexity: Medium.","Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
